Ngày,Loại học tập,Hoạt động,Tên nhiệm vụ,Trạng thái
2024-09-01,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-01,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-02,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-02,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-03,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-03,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-04,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-04,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-05,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-05,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-06,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-06,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-07,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-07,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-08,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-08,english,game,Tiếng Anh - Minigame,Hoàn thành
2024-09-09,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-09,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-10,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-10,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-11,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-11,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-12,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-12,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-13,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-13,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-14,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-14,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-15,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-15,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-15,chinese,vocabulary,Tiếng Trung - Từ vựng,Chưa hoàn thành
2024-09-16,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-16,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-17,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-17,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-18,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-18,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-19,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-19,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-20,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-20,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-21,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-21,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-22,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-22,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-23,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-23,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-24,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-24,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-25,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-25,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-26,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-26,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-27,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-27,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-28,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-28,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-29,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-29,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
2024-09-30,english,vocabulary,Tiếng Anh - Từ vựng,Chưa hoàn thành
2024-09-30,english,game,Tiếng Anh - Minigame,Chưa hoàn thành
